0.5577,0.089967,0.75482,0.70607,0.03823,-0.70607,0.03823
0.83987,0.17543,0.75482,-0.16808,0.68684,0.16808,0.68684
0.60247,0.21392,0.75482,-0.65109,0.27582,0.65109,0.27582
0.70729,0.25616,0.75482,-0.49921,0.50078,0.49921,0.50078
0.8332,0.025371,0.75482,0.1984,0.6787,-0.1984,0.6787
0.56092,0.071329,0.75482,0.70226,0.082671,-0.70226,0.082671
0.58988,0.012215,0.75482,0.667,0.23475,-0.667,0.23475
0.78333,0.23518,0.75482,-0.34997,0.61443,0.34997,0.61443
0.85641,0.11725,0.75482,-0.026158,0.70662,0.026158,0.70662
0.79575,-0.014631,0.75482,0.31903,0.63105,-0.31903,0.63105
